parameter_name,Triglycerides
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,E12.5
gene_symbol,Hspa5
analysis_id,9i9487bg3617524
pvalue,0.253232
gene_accession_id,MGI:95835
