analysis_id,0bk8nai574n3p59
pvalue,0.08905182
parameter_id,MGP_IMM_066_001
gene_symbol,Kifap3
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:107566
mouse_strain,C57BL
mouse_life_stage,Early adult
