gene_symbol,Gfi1b
mouse_strain,C57BL
gene_accession_id,MGI:1276578
analysis_id,33ps38uxz3xvt9c
mouse_life_stage,Early adult
pvalue,0.4970479
parameter_name,PP4 + pulse startle magnitude
parameter_id,ESLIM_011_001_010
