mouse_life_stage,Early adult
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_strain,C3H
pvalue,0.9693777
parameter_id,IMPC_IMM_051_001
parameter_name,Monocytes
analysis_id,soiriv24p570r21
