analysis_id,xr63c67601th7y8
mouse_strain,C57BL
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
pvalue,0.6841442
gene_symbol,Nanp
parameter_name,Effector CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_013_001
