analysis_id,xti86ouw42q6te5
mouse_life_stage,Early adult
gene_symbol,Ssr2
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:1913506
pvalue,0.9211732
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
