gene_symbol,Golm2
analysis_id,pv06uq94290ht9y
mouse_strain,C57BL
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
parameter_id,M-G-P_012_001_005
pvalue,0.5845634
parameter_name,Body Weight
