gene_symbol,Tox
parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
analysis_id,m0n6b9jy974ljhy
pvalue,0.3033513
parameter_name,Creatinine
mouse_strain,C57BL
gene_accession_id,MGI:2181659
