analysis_id,242y4n1u819ty50
parameter_name,CV
mouse_life_stage,Early adult
gene_accession_id,MGI:1916220
pvalue,0.6733935
gene_symbol,DCAF12
mouse_strain,C57BL
parameter_id,IMPC_ECG_003_001
