parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.597478
analysis_id,6u58xe5mc8z6k5d
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
parameter_id,MGP_CSD_008_001
gene_symbol,Sgip1
