parameter_name,Cholesterol ratio
gene_symbol,Bach2
analysis_id,361z76360e82043
pvalue,0.2006547
gene_accession_id,MGI:894679
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Early adult
