parameter_name,Sacral processes
gene_symbol,Sgip1
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:1920344
analysis_id,96oz87419h05h52
pvalue,0.8300007
mouse_life_stage,Early adult
mouse_strain,C57BL
