parameter_name,Retinal Blood Vessels Structure
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
analysis_id,o3ge5v3wm78x555
parameter_id,IMPC_EYE_025_001
pvalue,0.5035633
mouse_strain,C57BL
gene_symbol,Wars2
