parameter_id,MGP_MLN_013_001
gene_accession_id,MGI:104848
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.09587493
mouse_strain,C57BL
gene_symbol,Inpp1
analysis_id,qwmzubra5801779
mouse_life_stage,Early adult
