gene_symbol,Maco1
analysis_id,0dvvr86auvxmj4o
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:1913396
pvalue,0.2149819
parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
