parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
analysis_id,e08z4kx1gr87r9w
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
gene_symbol,AU040320
pvalue,0.1383738
mouse_strain,C57BL
