analysis_id,d3us7ndd3m9281p
gene_symbol,Nanp
parameter_id,IMPC_HEM_006_001
mouse_life_stage,E18.5
pvalue,0.1260887
mouse_strain,C57BL
gene_accession_id,MGI:1914561
parameter_name,Mean corpuscular hemoglobin
