analysis_id,mgtrm824uh7j33d
gene_symbol,Arpc5l
parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:1921442
parameter_name,Lens Opacity
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3159015
