gene_symbol,Gpbp1l1
mouse_strain,C57BL
parameter_name,Limb morphology
gene_accession_id,MGI:1924360
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
analysis_id,3556ja4g4bml0rb
pvalue,0.4218308
