analysis_id,880t17p506ml226
gene_symbol,Slc28a2
mouse_strain,C53BL
gene_accession_id,MGI:1913105
pvalue,0.8277385
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
parameter_name,Total protein
