parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
analysis_id,ydeww3w950f2ay3
gene_symbol,Mapkap1
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:2444554
pvalue,0.9372266
mouse_strain,C57BL
