gene_symbol,Ap5s1
mouse_strain,C57BL
parameter_name,Tibia length
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_033_001
analysis_id,f7b36z926f10tuv
gene_accession_id,MGI:1916846
pvalue,0.3992232
