parameter_name,Periphery distance travelled
mouse_strain,C3H
mouse_life_stage,Early adult
pvalue,0.8727696
analysis_id,87gwa3t668681s2
parameter_id,HRWLLA_OFD_010_001
gene_accession_id,MGI:95457
gene_symbol,Mecom
