analysis_id,71u86dd818su1nc
parameter_id,MGP_MLN_058_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
pvalue,0.4832376
parameter_name,Plasmacytoid DC - % of DC
