parameter_id,IMPC_ACS_034_001
mouse_life_stage,Middle aged adult
parameter_name,% Pre-pulse inhibition - PPI2
gene_symbol,AU040320
mouse_strain,C57BL
gene_accession_id,MGI:2140475
analysis_id,8c055z942gs66pw
pvalue,0.4661597
