parameter_name,B cell number
analysis_id,f4y32g76q92o04q
gene_symbol,Mapkap1
mouse_strain,C57BL
pvalue,0.06886736
gene_accession_id,MGI:2444554
parameter_id,MGP_PBI_034_001
mouse_life_stage,E12.5
