parameter_name,Total food intake
gene_accession_id,MGI:1888742
parameter_id,IMPC_CAL_008_001
pvalue,0.2205724
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,22t64z127yn0c58
gene_symbol,Extl1
