parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
gene_symbol,Lamb3
parameter_name,Center average speed
mouse_life_stage,Early adult
analysis_id,776789zj48ogi05
pvalue,0.9729781
gene_accession_id,MGI:99915
