parameter_name,Tibia
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
analysis_id,2slk9754g4pz339
gene_symbol,Mecom
pvalue,0.1455703
gene_accession_id,MGI:95457
mouse_life_stage,E12.5
