analysis_id,8n1z97k421t1x98
pvalue,0.4767074
gene_symbol,Atrn
parameter_name,Total cholesterol
gene_accession_id,MGI:1341628
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
