parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_id,IMPC_EYE_026_001
gene_symbol,Eprs1
pvalue,0.3500347
analysis_id,n11574qi9efc4d0
