parameter_name,Heart weight
mouse_strain,C57BL
pvalue,0.06628587
mouse_life_stage,Early adult
gene_symbol,Fpgs
gene_accession_id,MGI:95576
analysis_id,wd61o1540fg750w
parameter_id,IMPC_HWT_008_001
