analysis_id,7d182j8a77169ig
gene_accession_id,MGI:1338032
parameter_id,MGP_IMM_014_001
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Sema6c
mouse_life_stage,Early adult
pvalue,0.8223764
