parameter_id,JAX_ROT_002_001
parameter_name,Average duration
mouse_life_stage,Early adult
analysis_id,5ev4093054dv82k
pvalue,0.7498325
gene_symbol,Slc45a3
mouse_strain,C57BL
gene_accession_id,MGI:1922082
