parameter_name,Monocytes
gene_symbol,AU040320
parameter_id,IMPC_IMM_051_001
pvalue,0.5568309
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
analysis_id,st8unikshum34k0
