analysis_id,k72ue74660n4zuq
mouse_strain,C57BL
parameter_id,MGP_MLN_067_001
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Kdm5b
gene_accession_id,MGI:1922855
pvalue,0.8660305
