parameter_name,Shape of ribcage
mouse_strain,C57BL
gene_symbol,Atg4c
pvalue,0.2466114
analysis_id,c1jt04b6312pre8
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
parameter_id,IMPC_XRY_059_001
