analysis_id,73v3jc22592u25u
gene_accession_id,MGI:1345282
parameter_name,Cornea vascularisation
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,ESLIM_014_001_008
pvalue,0.3419417
mouse_life_stage,Middle aged adult
