analysis_id,021h12s861d5jwy
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
parameter_name,CD11b-high cDC - % of cDC
parameter_id,MGP_IMM_066_001
pvalue,0.5364408
mouse_life_stage,Early adult
mouse_strain,C57BL
