parameter_name,Retina (combined)
pvalue,0.7507566
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,zpg4ke69f1vxr1k
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_id,IMPC_EYE_092_002
