parameter_name,Startle response
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
pvalue,0.5024247
gene_symbol,Nemp2
parameter_id,MGP_CSD_008_001
mouse_strain,C57BL
analysis_id,50py587qr2935u4
