gene_symbol,Etfdh
pvalue,0.4083097
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
mouse_strain,C57BL
analysis_id,6j1s2pn247o0a44
