gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_name,Periphery distance travelled
gene_accession_id,MGI:1914583
pvalue,1.626836e-06
mouse_strain,C57BL
analysis_id,3ny9eh1el7p5lj8
parameter_id,JAX_OFD_010_001
