gene_symbol,Sfpq
pvalue,0.694263
parameter_id,IMPC_ACS_006_001
analysis_id,6go89665xa6lj28
mouse_strain,C57BL
parameter_name,Response amplitude - S
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
