gene_symbol,Exd1
mouse_strain,C57BL
pvalue,0.3787435
parameter_name,Midbrain
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:3045306
analysis_id,ra0xjf8r7zx21t6
