parameter_name,Humerus
gene_accession_id,MGI:2444554
analysis_id,583pa4m6w4x3c92
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
pvalue,0.2935309
gene_symbol,Mapkap1
