analysis_id,e68pw931686p3h5
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,HMGULA_CBC_016_001
gene_accession_id,MGI:88174
pvalue,0.6050172
parameter_name,HDL-cholesterol
mouse_life_stage,E15.5
