parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_strain,C57BL
pvalue,0.4195852
analysis_id,w7s0d3rqrw5pqf8
parameter_id,M-G-P_007_001_008
