analysis_id,49z53mn137i00x9
parameter_name,Snout size
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
pvalue,0.9760438
gene_symbol,Lamb3
gene_accession_id,MGI:99915
