parameter_id,HRWLLA_CSD_008_001
gene_symbol,Dnaaf9
analysis_id,93rs695wcs80w86
mouse_strain,C57BL
gene_accession_id,MGI:1923029
pvalue,0.6447806
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
