analysis_id,8817229892hk8lj
gene_symbol,Rhbg
mouse_life_stage,Early adult
mouse_strain,C56BL
parameter_id,MGP_IMM_084_001
pvalue,0.05988684
gene_accession_id,MGI:1927379
parameter_name,KLRG1+ CD8+ T cells - % of CD45+
