parameter_name,Delayed embryonic development
mouse_life_stage,Early adult
analysis_id,h1r345861w994e9
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
mouse_strain,C57BL
pvalue,0.1674995
parameter_id,IMPC_GEL_063_001
