parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1916846
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
analysis_id,o0x6ic73n565136
pvalue,0.6269734
gene_symbol,Ap5s1
