gene_symbol,Rab3gap2
mouse_life_stage,Early adult
parameter_name,Transitional B Cells (CD21/35 low)
gene_accession_id,MGI:1916043
mouse_strain,C57BL
pvalue,0.5980532
parameter_id,IMPC_IMM_069_001
analysis_id,012y08k4z0sq45h
