analysis_id,osl7w3f7bdn67w6
gene_accession_id,MGI:1860103
parameter_name,Bone Area
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
pvalue,0.2402639
gene_symbol,Slc2a8
mouse_life_stage,Early adult
