analysis_id,63u8rw0q1p50b73
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914556
pvalue,0.4204053
parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
