analysis_id,8222217j3iu7mq7
gene_accession_id,MGI:1914583
gene_symbol,Stk35
pvalue,0.4789651
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_MLN_071_001
