parameter_name,Center resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,07h59nn05uwl890
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_id,JAX_OFD_015_001
pvalue,0.9774041
