parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
gene_symbol,Fpgs
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
pvalue,0.7272141
analysis_id,mf8sx7puhao62ga
mouse_strain,C57BL
