gene_symbol,Fpgs
parameter_name,Radius
pvalue,0.3617761
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3c8o25mj8967n31
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:95576
