parameter_name,Latency to center entry
gene_accession_id,MGI:95835
analysis_id,q862r9jfgtd90ax
mouse_strain,C57BL
gene_symbol,Hspa5
pvalue,0.5681466
mouse_life_stage,E12.5
parameter_id,IMPC_OFD_018_001
