analysis_id,zcpp628g8382x3s
mouse_strain,C57BL
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
gene_symbol,Lurap1
gene_accession_id,MGI:1915325
parameter_id,IMPC_IMM_004_002
pvalue,0.8627557
