analysis_id,5bu9zx4b9f1m44p
pvalue,0.4822839
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1923029
parameter_id,MGP_IMM_125_001
gene_symbol,Dnaaf9
