parameter_name,Sodium
parameter_id,IMPC_CBC_001_001
pvalue,0.5275045
mouse_strain,C57BL
gene_accession_id,MGI:1332236
gene_symbol,Cds2
analysis_id,r61y50t5b8r5652
mouse_life_stage,Early adult
